id,store_id,image_url,is_main
1263,18,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA5MDdfMzUg%2FMDAxNjk0MDU4MzA5MDY3.ODJFkVqiJ3k48QMYnWyCA_ZnmfS79lqPpgsifb9cQ8sg.Z6HaTTMGYoef6SqlendK2rvWMzRZqsJ5WhCNt71XnhQg.JPEG.ckkk33%2FP20230811_152804085_AD5C1C44-53FB-4949-A386-3173A54861FE.jpg&type=a340,True
1264,19,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNjAzMDlfMTMz%2FMDAxNzczMDU5NzU2MjU1.7EVkpMiyko3MSUh3Au19jMANq2NF2xRtexUzzhI8RbEg.OBYOVKc0ba9Hu-AVrMXjxHsxRh6vCBOzgVlpGT_GH6Ag.JPEG%2F900%25A3%25DFimage%25A3%25AD2.jpg&type=a340,True
1265,20,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDAzMDZfMjE3%2FMDAxNzA5NzA3MzMyOTUw.MMw6Di4wAfqQ2yaDunz1DzNOzeu1CCmJwG4Atff7CV4g.IBxFPJ13140a0nbMCOGARZQlC09JfP69rZUzjV0nWZIg.JPEG%2FIMG_7241.jpg&type=a340,True
1266,21,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTExMDFfMjcy%2FMDAxNjM1NzI3ODU1OTk5.AoVibxagP0lv_ma0-IZSnTlz1-xC7Q5EUzsaEvVSGHwg.kwGUPyprIoIZ5Q4yvf6T3ZB1DJOltbuWodR-1Aunbw0g.JPEG.aga9412%2FIMG_9689.JPG&type=a340,True
1267,22,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDEwMTVfMTk1%2FMDAxNzI4OTYzMzQwODU1.vpMUkAuwcpoZS_stGZYJVn41E7S8RRGuFoPcQ4KIl-Yg.aqDKbpy9yw04xuVwI9o1IZckpBVc10_gHvv76liRdZEg.JPEG%2FIMG_8669.jpg&type=a340,True
1268,23,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20260317_263%2F17737224040677M5J8_JPEG%2F1000023137.jpg&type=a340,True
1269,24,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA1MDJfMTY3%2FMDAxNjE5OTU0MjAyNzE0.ExTwuSYVjlctHt7Hq91U_uTxCtpsMJW1ailDcRZBntIg.fhumcHRBArcKu28S4yLDf9p7B0vA714FpECYyZ7gJdAg.JPEG.gshock777%2Foutput_2890304305.jpg&type=f54_54,True
1270,25,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODEwMThfMTcx%2FMDAxNTM5ODI0MjY2MTEz.bwKust83OXgAMPXPt1Oipy5j_uX5-Wg8Ax4hNNsLgEAg.v8Oh5bxuLzHwy5GhFuRQkBWHLUOxYl-2PJHy9Ck48Dwg.JPEG.songashojae%2FP1100934.JPG&type=a340,True
1271,26,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMjAzMjVfMjcx%2FMDAxNjQ4MTkzNjUyMTY1.HGWGwa06Mqbs_BCD5NImuI8S4XSHI4SXdKUOUO1SL6Mg.ELLjrLbMRVhClnhsUBHyYIXsMuDvqzq1euP3uiooAHMg.JPEG.mylovewoo5%2FIMG_4405.jpg&type=a340,True
1272,27,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250624_119%2F1750756834600kXs38_JPEG%2F1000006302.jpg&type=a340,True
1273,28,https://search.pstatic.net/common/?src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5738%2F2026%2F07%2F30%2F0000060051_001_20260730095215853.png&type=a340,True
1274,29,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAzMTlfMjYg%2FMDAxNjc5MjA4NDcyNzEw.KSg_DUpNJD4TDYbTU5ZuA1QOGN7FU3WVpKIKcFU_U74g.BlIrBUZOTjVdrp0FeRa7brheocwn-tfkqDPMNdV-X3gg.JPEG.egg0b%2FKakaoTalk_20230319_143658456_14.jpg&type=a340,True
1275,30,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240830_286%2F1725012829417RkwWz_JPEG%2FIMG_0970.jpeg&type=a340,True
1276,31,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA4MTJfMjI4%2FMDAxNzIzNDI5NTkwNTIz.xwJYFgCCdaK7wZJ1a-tvsFIZYcQYkgkt5TQGr3yz4m8g.bsYWEVhI0MdYjzxixMyrTWN0aflBxTzM5B5EcHgcQ28g.JPEG%2F2024_08_08_18_29_IMG_3301.JPG&type=a340,True
1277,32,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxNzAyMjZfMTA5%2FMDAxNDg4MDM2NTYxNzgw.dm_SxL4dYH0K5BzUld8GHW3hHFcddM_OWI9Q-IIUJpUg.I46nkf94QexR7_K-lK-tPbNXhyJ5nAy3wH34qzk2cx8g.JPEG.hghg970728%2FKakaoTalk_Moim_5se29d27wzaAlquaxmCbC64F8ZWFTX.jpg&type=f54_54,True
1278,33,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzExMDFfMTQ5%2FMDAxNjk4Nzk4NjYyMzky.HnTO-kv1JfRJgr7XdmVmEN9jRNV5tkwCBp2Xzj09fJwg.umz7UAoUQEEDPmWbn_H1eB9aN3N8FK77E8LQPrFxOG4g.JPEG.sexyhans%2FKakaoTalk_20231101_093036348_01.jpg&type=a340,True
1279,34,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA3MDFfNTYg%2FMDAxNjg4MTY5NDI0NTUx.OffWLJnNubzw8gdjzwoFp-795ZIUnx2JYQqGBbEeHWog.f32V0WZf1vvkHDfUOJXwdrlMhGVpEFr67llFtTfOnckg.JPEG.tokang2479%2F1683802702226.jpg&type=f54_54,True
1280,35,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNjAzMDFfNTMg%2FMDAxNzcyMzYyMzYzOTc5.hxK3GJHkJL65Oh-wkiDcxhIrjZIu3-cbwfR_B_rVFekg.Rjnx2J8B8zkTwDfcB-Qs1QWXlppxhbb9ZaSpYsBByncg.JPEG%2Foutput%25A3%25DF3787307864.jpg&type=a340,True
1281,36,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA2MDlfMTA3%2FMDAxNjg2MzExNDkyODUy.gCC66ouN_4EP-qG4Ma2_GXeVBGkOHQQ9ipKqZkONeyYg.cG3Ggegb3lPZiTUKv0ODCdcEdj5u6G4NWuKwFghX-lkg.JPEG.ummm49%2F20230609%25A3%25DF195209.jpg&type=a340,True
1282,37,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMTA2MjJfNzgg%2FMDAxNjI0MzM5NTU4Njgy.RYzx25Q_QITSLvr8C_-gcNMV4m_hQoh1ZMwDG5iHsrYg.GJzp1OYvpbyEvvFFkViBR7uYQfTXfMyqAVek-QDeZQMg.JPEG.kity604%2FIMG_0738.jpg&type=a340,True
1283,38,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fst2.depositphotos.com%2F1005891%2F7667%2Fi%2F950%2Fdepositphotos_76673297-stock-photo-square-plate-of-fried-chicken.jpg&type=a340,True
1284,39,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fi.namu.wiki%2Fi%2FMA3difuPB4TiKOYsTzdhZfuQGrK7I-_6sW9NzDVy6x3GJAlCEVJcvIqPtEoZq9yc1iX4ajTD51GFyUxO4QpCvQ.webp&type=a340,True
1285,40,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA4MzFfMTc2%2FMDAxNTM1Njg5ODE4MDM1.VVwO5RclOV7WrRJk5YG6Ru4zPnLsz0VPaggBxxY7BTIg.ucHGjPCJL3-5RtDI4GOkyyax6yZ01E2EuxMfP8V1mwYg.JPEG.69eros%2F20180831_125537.jpg&type=a340,True
1286,41,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA5MjdfMTA1%2FMDAxNTM4MDEyNjMwNzI2.zPKf5srSBmvCORFbimUviUVtdwo68OMi_8p1wzBTBnIg.jZTIHj6nCy97IvOsQJEhnTIShPRIRxY9ZpswtpRkwe4g.JPEG.skdlxh%2FP1240252.JPG&type=a340,True
1287,42,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTA2MzBfMTYz%2FMDAxNzUxMjUzOTIwNzgx.e3BWEVl2DR02JI4xviKm1hjUW5k46wrh-AQi3RqY1bwg.YqcjIlbrvWVQkFzm6nHVVbRnyVC40KgL30d9Nk1L-EAg.PNG%2F%25C1%25A6%25B8%25F1%25C0%25BB_%25C0%25D4%25B7%25C2%25C7%25D8%25C1%25D6%25BC%25BC%25BF%25E4_-008.png&type=a340,True
1288,43,https://search.pstatic.net/common/?src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F112%2F2018%2F04%2F07%2F201804072305435313064_20180407231534_01_20180407231705546.jpg&type=a340,True
1289,44,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNjA2MDNfMTY4%2FMDAxNzgwNDQ2OTQzMTc3.azcw26qkSvigJbVZVjmt5wZbAoBGPi1tueiMlrdjG8og.SbMVBtSUJUF9aeZ_eUvcr_YGtV_S0X1TwRVehAguLhIg.JPEG%2F900_20260602_200249.jpg&type=a340,True
1290,45,https://search.pstatic.net/common/?src=http%3A%2F%2Fimgnews.naver.net%2Fimage%2F5738%2F2026%2F06%2F01%2F0000056066_001_20260601095811426.jpg&type=a340,True
1291,46,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA2MTBfODIg%2FMDAxNzE3OTU3MTM4NzA3.u5EfsEUAAYDbjKve9ISQGkVB8r6DerOySn5g-YI5BLog.A93gcn9IJlk6k3Rb_VTJHysxj0pY4U0Jaa6gTS3y5D8g.PNG%2Fimage.png&type=a340,True
1292,47,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA5MDdfMTEz%2FMDAxNzI1NzA0MzY3MzYw.RqE1KajQNtIZ5_1IqgoB-D45Gq0YJ_TCdUlvSeabvSUg.-xIb--LsNtR_TnazOnBZ9wXmZiK7M54hDhsvsG10CMYg.JPEG%2FIMG_9569.jpg&type=a340,True
1293,48,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA1MTRfNzEg%2FMDAxNjg0MDY2NzMwMTA3.LRvU9qwM7xOck2J0_2gGL6AkgP7T_WNQdALF6dW4kh4g.L2hGiYOHZvKX4ztvJr10sXaNRQr7J8JoafzACKGNgI4g.JPEG.jinhyun0613%2FIMG_0531.jpg&type=a340,True
1294,49,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDAxMDhfMjI3%2FMDAxNzA0NjkzMTE0OTg3.5LIFAoSi1_f6j--TY7SlgO6KCX4IYjiG31Cmop0pxSUg.QfemX23yOvf2zmQGTxNJCt7KEejIJsTJmbCmdB2nuqgg.JPEG.u_uyoo%2FIMG_2392.jpg&type=a340,True
1295,50,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNjA3MTZfMjI2%2FMDAxNzg0MTkzNjgxMjg0.rk0eUUuZOuQJoAZz_Tg2wWZPf8LkfmfDT8oWIOFy-dog.S8D_U9UiKBRhvzdL98qvjN8u0qHPgP_ysikIO80YazEg.JPEG%2F1.jpg&type=a340,True
1296,51,https://search.pstatic.net/sunny/?src=https%3A%2F%2Fthumbs.dreamstime.com%2Fb%2Frepublic-cuba-map-vector-eps-32512150.jpg&type=f54_54,True
1297,52,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDExMTZfMjgw%2FMDAxNjA1NTIzNzg5NjUx.a5Y-h2xyX81pnO6i42q6lHeZEUzckY4jfaeZj7CqB4og.zarGxbE9oN-5HoT9adAPcU1RBXDDF1KcU_sUXE1VGTUg.PNG.leehowon9927%2F%25BD%25E6%25B3%25D7%25C0%25CF.png&type=a340,True
1298,53,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTExMDlfMjE2%2FMDAxNzYyNjE5MzQzMTI5.MTbcOOlTokoVF5PmlLhpCEuYn1VQQ3W1ibf_YZKSxb4g.XsTHe1OX-wPOVzTsKuijph9F2lOSqyAAVjyIfl05ku0g.JPEG%2FIMG%25A3%25DF2851.jpg&type=a340,True
