name,category,star_rating,visitor_reviews,blog_reviews,address
지금은 아구찜 대연점,음식점,별점 없음,0,0,부산 남구 수영로298번길 21 2(일부)층 (대연동)
신밀양돼지국밥,음식점,별점 없음,3,0,부산 남구 용소로 45
하대승담양갈비 대연점,음식점,별점 없음,455,0,부산 남구 유엔로 229 1층
곱창동자,음식점,별점 없음,4,1,부산 남구 용소로21번길 37-1
엄마손 닭도리탕,음식점,별점 없음,2,0,부산 남구 용소로13번길 17
맛있는 김치찜&김치찌개,음식점,별점 없음,1,0,"부산 남구 수영로298번길 39-9 가동 101호, 102호"
포천할매 순두부,음식점,별점 없음,0,0,부산 남구 용소로14번길 23
맛있는인생,음식점,별점 없음,3,0,부산 남구 용소로14번길 17
울엄마 김치찜 갈비찜,음식점,별점 없음,0,0,부산 남구 수영로298번길 27
닭한판바베큐,음식점,별점 없음,1,0,부산 남구 수영로 312
궁순 순두부,음식점,별점 없음,0,0,부산 남구 용소로13번길 77 (대연동)
속시원한 명물 부산물회,음식점,별점 없음,"1,339",0,부산 수영구 남천동로108번길 12 2층
지교,음식점,4.96,203,0,부산 남구 수영로346번길 44 1층 지교
그집짬뽕0927 대연점,음식점,4.86,"3,082",0,부산 남구 용소로7번길 60 영광드림타워 1층 102호
1978 상하이짬뽕 대연점,음식점,별점 없음,2,0,부산 남구 용소로19번길 41-1
뚠뚠이 생안심탕수육,음식점,별점 없음,3,0,부산 남구 용소로34번길 25
호호정,음식점,별점 없음,566,0,부산 남구 신선로 566 401동 147-2호
탕슈탕슈,음식점,별점 없음,4,0,부산 남구 조각공원로 47
수반점,음식점,별점 없음,515,0,부산 남구 수영로250번길 19
첸,음식점,4.31,158,0,부산 남구 수영로325번길 61 롯데캐슬아파트
부산연경 대연점,음식점,4.62,"2,047",0,부산 남구 못골로 95 1층
북경양꼬치 남천점,음식점,별점 없음,158,0,부산 수영구 남천동로10번길 18 101호
용이네주방부경대점,음식점,별점 없음,10,0,부산 남구 대연동
남천홍반장,음식점,별점 없음,343,0,부산 수영구 수영로408번길 9
동화대반점,음식점,별점 없음,759,0,부산 수영구 수영로427번길 11 2층
남천각,음식점,별점 없음,113,0,부산 수영구 남천동로22번길 15-1
차이풍,음식점,별점 없음,809,0,부산 남구 용소로13번길 46 2층 차이풍
칠성반점,음식점,별점 없음,0,0,부산 남구 용소로21번길 41
갈비짬뽕엔탕수육,음식점,별점 없음,0,0,부산 남구 수영로298번길 27
반대가리,음식점,별점 없음,4,0,부산 남구 수영로325번길 12
상무초밥 광안리점,음식점,4.85,989,0,부산 수영구 남천바다로 36 1층
