name,category,star_rating,visitor_reviews,blog_reviews,address,latitude,longitude,distance_m
라이옥 베트남 쌀국수 본점,음식점,4.57,"2,264",0,부산 남구 용소로7번길 76,35.1382755065968,129.104077367087,494.1
구월의마카롱,음식점,별점 없음,"1,079",0,부산 남구 수영로334번길 9,35.1380278118715,129.102565212563,523.9
파리바게뜨 경성대점,음식점,별점 없음,"4,799",0,부산 남구 용소로 6,35.1366446250971,129.100102941944,576.3
숯불애,음식점,4.78,"2,617",0,부산 남구 수영로346번길 20,35.137996403023,129.103855165446,470.6
신사우물갈비 대연점,음식점,4.92,"6,346",0,부산 남구 용소로7번길 83,35.1386546027983,129.104374219754,528.7
맥도날드 경성대점,음식점,4.59,"5,470",0,부산 남구 수영로 304 대승타워,35.1368002282861,129.099522232917,630.6
연어바치,음식점,별점 없음,"1,139",0,부산 남구 용소로21번길 71 1층 연어바치,35.1363502355046,129.104110852699,292.5
빌라 드 엘르,음식점,별점 없음,"1,061",0,부산 남구 수영로 334 지하 1층 빌라 드 엘르,35.1381632839411,129.102226095341,553.1
아웃닭 경성대점,음식점,별점 없음,"1,646",0,부산 남구 용소로19번길 6 1층,35.1357063483514,129.101230133853,436.5
피자베이 남구수영점,음식점,별점 없음,162,0,부산 남구 용소로21번길 37 1층,35.1356553532177,129.102823853552,309.0
감삼집 부산 경성대본점,음식점,4.9,"1,495",0,부산 남구 수영로322번길 33 2층,35.1364959562081,129.10224212431,409.5
춘리마라탕 경성대점,음식점,별점 없음,"4,855",0,부산 남구 용소로 11 2층,35.1364091275822,129.100805995936,508.0
고기달인,음식점,4.72,861,0,부산 남구 용소로7번길 81 1층,35.1385930253083,129.104240990342,524.6
시장을여는사람들 경성대부경대점,음식점,별점 없음,984,0,부산 남구 용소로13번길 26,35.1366646356151,129.102050975468,435.0
믕,음식점,별점 없음,994,0,부산 남구 용소로40번길 19 2층,35.1337314990157,129.099892409441,515.5
역시한우,음식점,4.91,368,0,부산 남구 용소로13번길 81 1층,35.1380954933996,129.104557619217,464.4
카페위드,음식점,별점 없음,715,0,부산 남구 용소로19번길 15 대정빌딩 2층,35.1361269700329,129.101486893523,438.9
포비베이크샵,음식점,별점 없음,258,0,부산 남구 수영로366번길 16-6 1층,35.1389440658074,129.105996512612,551.4
동동국밥 경성대점,음식점,4.85,603,0,부산 남구 용소로7번길 45 1층 102호,35.1378057210026,129.102453636963,508.5
Poke all day 포케&샐러드 경성대부경대점,음식점,별점 없음,"1,506",0,부산 남구 용소로 13,35.1362136955536,129.10092383766,487.6
아슬케밥,음식점,별점 없음,91,0,부산 남구 용소로28번길 10,35.1349880662009,129.100157906182,502.7
이층집 코코로 본점,음식점,4.58,378,0,부산 남구 수영로322번길 18 2층,35.1369517104289,129.101533547082,491.3
롯데리아 부산경성대점,음식점,별점 없음,"2,315",0,부산 남구 수영로 300 VISION PLAZA,35.1366795471993,129.099226780319,647.8
할리스 부산경성대점,음식점,4.57,"1,305",0,부산 남구 용소로 7 청라빌딩,35.1366740247463,129.100631797365,537.3
비스트로정재집,음식점,별점 없음,"1,112",0,부산 남구 용소로21번길 109 1층,35.1375739262404,129.105437932465,397.7
그린클라우드 대연점,음식점,별점 없음,723,0,부산 남구 용소로 18-2 그린클라우드 대연점,35.1356039389602,129.100510067127,492.0
돈나무집,음식점,4.95,79,0,부산 남구 용소로7번길 53-1 (대연동) 돈나무집,35.1379015758033,129.102834246969,499.4
동대문엽기떡볶이 부산경성대점,음식점,별점 없음,470,0,부산 남구 용소로14번길 14 2층,35.1359592314057,129.099971464868,552.3
미분당 대연점,음식점,4.91,"1,126",0,부산 남구 용소로19번길 34 1층 101호,35.1362983685549,129.102499665465,377.4
백양숯불갈비 본점,음식점,별점 없음,347,0,부산 남구 수영로358번길 21 1층,35.1386048252128,129.105257805665,512.9
면식당 부경대점,음식점,별점 없음,"3,211",0,부산 남구 용소로21번길 66 1층,35.1360290304649,129.104066054752,263.1
